Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	age	gender	accuracy	country
4	2	2	2	2	4	4	3	4	2	2	4	37	1	90	US
4	2	4	2	5	4	2	4	4	2	2	2	26	1	90	NL
4	3	4	1	3	4	4	4	2	2	2	2	25	1	90	GB
3	4	4	2	4	3	4	3	2	3	2	2	27	1	70	GB
4	4	2	2	2	4	3	4	3	3	2	3	27	1	75	DE
4	2	1	2	1	5	4	5	2	1	1	4	35	1	99	CA
4	4	2	2	1	5	4	5	1	1	1	2	36	2	100	US
4	4	1	1	2	5	5	5	1	1	1	2	61	1	94	US
4	2	4	4	2	4	4	3	2	2	2	4	28	1	80	DE
4	4	2	2	4	4	4	4	2	2	2	2	39	1	90	CA
5	4	1	1	1	5	5	4	1	1	1	2	39	1	60	GB
4	2	4	3	4	4	4	4	2	3	4	3	51	2	85	US
5	4	4	3	4	2	5	2	4	2	4	4	43	2	80	US
5	1	5	4	5	3	2	5	5	5	5	5	23	1	99	US
4	4	4	4	4	3	3	4	2	3	3	3	25	2	80	AU
5	5	2	4	4	1	3	3	5	2	2	3	21	1	20	US
2	2	5	4	4	2	4	4	3	3	4	3	22	2	80	AU
4	5	1	2	2	5	4	4	2	2	2	2	19	1	86	US
5	2	2	3	2	4	5	5	1	2	1	3	43	2	75	GB
1	2	4	1	5	2	1	2	5	4	4	3	18	1	100	GB
2	2	2	3	2	4	4	5	1	1	1	3	27	2	50	IN
5	4	1	2	4	5	4	4	3	2	1	2	23	2	80	RO
4	4	4	3	2	4	4	3	2	2	2	3	33	1	90	US
5	5	1	1	4	4	4	5	1	2	1	3	27	1	80	BE
2	1	4	4	5	1	4	3	5	4	4	3	35	1	100	US
2	1	5	5	4	2	2	2	4	3	3	4	32	1	65	US
4	4	1	1	1	2	4	3	2	2	1	1	57	1	88	US
4	1	3	4	5	2	5	4	2	2	1	2	19	1	65	IL
4	3	2	4	4	2	3	4	5	2	3	4	30	2	90	US
4	1	4	4	5	2	1	4	5	4	4	3	26	1	99	US
5	2	2	4	4	4	4	3	4	2	3	4	41	2	80	PH
2	2	4	3	1	1	4	2	4	1	4	2	16	2	70	US
2	1	4	4	2	4	3	2	4	4	4	2	53	1	50	US
2	1	5	5	4	1	2	2	5	4	5	5	28	1	100	GB
4	4	4	2	4	4	5	2	1	2	2	2	32	1	95	KR
4	5	2	2	4	4	4	4	1	2	1	3	24	2	75	AU
4	4	3	2	5	4	5	5	2	2	2	4	23	2	75	PH
4	4	2	1	1	4	4	4	2	2	2	4	34	1	70	US
5	4	2	2	4	5	4	2	1	1	1	3	25	2	98	US
2	2	4	4	4	2	3	2	4	4	4	4	46	2	80	CH
4	4	1	1	4	5	5	3	1	1	1	1	50	2	90	PR
2	1	4	4	3	2	2	3	3	4	3	4	35	2	98	ES
2	1	5	5	4	2	1	2	4	5	4	3	18	2	100	US
2	1	4	4	4	2	3	2	4	3	4	2	33	1	95	GB
4	4	2	2	3	4	4	3	3	4	2	4	22	1	100	US
3	3	2	4	5	1	2	4	2	5	5	3	21	1	40	DE
4	3	2	2	4	4	5	3	2	2	3	4	31	2	90	US
4	5	2	5	5	5	5	5	2	4	4	5	52	2	70	AU
5	5	2	1	3	4	4	5	3	2	2	2	47	1	96	US
4	4	4	1	4	4	4	5	1	2	4	1	30	1	5	US
5	4	1	1	1	5	5	4	1	1	1	1	29	1	85	KW
4	4	2	1	4	2	5	4	4	1	1	2	32	1	90	US
5	4	1	1	4	4	5	3	2	2	2	4	69	2	95	US
1	5	4	2	4	3	5	1	1	4	4	2	19	1	70	BR
3	2	5	2	5	1	5	3	4	2	5	4	38	2	80	US
4	4	1	1	3	5	5	4	2	2	1	2	43	1	95	US
3	4	2	3	4	4	4	4	2	4	3	2	16	1	99	US
4	4	5	2	4	1	2	3	5	4	4	3	14	1	60	US
4	4	2	2	3	4	4	4	3	4	2	3	25	1	80	CA
5	5	2	1	1	5	4	4	2	1	1	3	26	1	90	US
